"","Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"1",2022-11-10,17589.1,15887,18138.2,15799.3,"720,74K","10,71%"
"2",2022-11-09,15886.9,18538.9,18583.8,15603.3,"869,57K","-14,25%"
"3",2022-11-08,18527.4,20589,20667.5,17260,"865,10K","-10,01%"
"4",2022-11-07,20589,20916.3,21055.4,20410.5,"414,24K","-1,56%"
"5",2022-11-06,20916.3,21298.7,21360.4,20901,"242,26K","-1,81%"
"6",2022-11-05,21301.6,21145.7,21464.7,21084.1,"261,23K","0,74%"
"7",2022-11-04,21145.9,20206.4,21281.9,20184.6,"499,50K","4,65%"
"8",2022-11-03,20206.4,20154,20384.5,20066.6,"347,23K","0,26%"
"9",2022-11-02,20154.4,20482.9,20778.3,20065.8,"420,23K","-1,61%"
"10",2022-11-01,20483.5,20496.1,20676.6,20348.1,"302,72K","-0,06%"
"11",2022-10-31,20496.3,20626,20822.4,20260,"327,47K","-0,63%"
"12",2022-10-30,20626.3,20809.4,20922.3,20522.5,"207,63K","-0,88%"
"13",2022-10-29,20809.8,20594.2,21038.1,20561.9,"276,54K","1,05%"
"14",2022-10-28,20594.4,20293,20744,20058.2,"318,90K","1,49%"
"15",2022-10-27,20292.9,20769.5,20867.9,20231.6,"365,49K","-2,29%"
"16",2022-10-26,20769.5,20086.8,20981.5,20062.9,"427,99K","3,42%"
"17",2022-10-25,20082.7,19331.8,20406.9,19249,"371,54K","3,89%"
"18",2022-10-24,19331.5,19571.2,19588.6,19177.2,"286,94K","-1,22%"
"19",2022-10-23,19571.2,19204.8,19680.9,19092.5,"180,63K","1,91%"
"20",2022-10-22,19204.8,19162.6,19249.9,19116.1,"118,24K","0,22%"
"21",2022-10-21,19162.6,19042.9,19245.5,18703.3,"294,66K","0,63%"
"22",2022-10-20,19042.9,19125.1,19334.5,18935.6,"253,20K","-0,42%"
"23",2022-10-19,19123.9,19328.2,19358.6,19101.2,"209,28K","-1,06%"
"24",2022-10-18,19328.2,19548.4,19692.9,19102.8,"290,07K","-1,13%"
"25",2022-10-17,19548.2,19262.2,19663.5,19163.6,"248,40K","1,49%"
"26",2022-10-16,19261.9,19068.8,19411.9,19066,"140,95K","1,01%"
"27",2022-10-15,19068.7,19181.7,19218.7,19000.8,"123,66K","-0,59%"
"28",2022-10-14,19181.8,19379.8,19933.9,19098.6,"400,45K","-1,02%"
"29",2022-10-13,19379.8,19154.6,19494.4,18207.9,"455,13K","1,17%"
"30",2022-10-12,19154.8,19058.5,19212.6,19010.6,"242,18K","0,50%"
"31",2022-10-11,19059.1,19134.3,19261.3,18868.7,"288,57K","-0,39%"
"32",2022-10-10,19134.6,19441.7,19520.7,19057,"243,77K","-1,58%"
"33",2022-10-09,19441,19416.3,19552.1,19329.6,"127,53K","0,13%"
"34",2022-10-08,19415,19530.2,19612.2,19274.7,"113,50K","-0,60%"
"35",2022-10-07,19531.3,19962.4,20051.4,19352.1,"263,50K","-2,13%"
"36",2022-10-06,19956.7,20157.5,20436.7,19873.7,"370,60K","-1,00%"
"37",2022-10-05,20157.5,20340.5,20353.8,19761.7,"352,76K","-0,90%"
"38",2022-10-04,20340.2,19629.7,20436.1,19506.4,"368,17K","3,63%"
"39",2022-10-03,19628.3,19057.6,19676,19001.3,"333,03K","3,02%"
"40",2022-10-02,19052.2,19311.9,19389.9,18937.3,"222,82K","-1,34%"
"41",2022-10-01,19311.9,19422.9,19480.3,19172.6,"173,91K","-0,57%"
"42",2022-09-30,19423,19593.4,20174.9,19208.9,"490,29K","-0,87%"
"43",2022-09-29,19593,19420.2,19631.5,18877.9,"449,57K","0,94%"
"44",2022-09-28,19411,19083.4,19757.8,18505.3,"581,19K","1,73%"
"45",2022-09-27,19081,19228.8,20361.2,18850.4,"660,12K","-0,75%"
"46",2022-09-26,19225.7,18803.1,19304.8,18695.2,"516,03K","2,25%"
"47",2022-09-25,18803.2,18925.1,19125.1,18659.6,"209,71K","-0,64%"
"48",2022-09-24,18925.2,19288.4,19310.6,18812,"258,50K","-1,91%"
"49",2022-09-23,19293.5,19404.1,19477.3,18554.8,"431,15K","-0,57%"
"50",2022-09-22,19404,18488.1,19490.9,18371,"448,63K","4,95%"
"51",2022-09-21,18489,18875.1,19758.4,18191.8,"446,85K","-2,03%"
"52",2022-09-20,18872.4,19538.9,19626.3,18742.6,"361,18K","-3,41%"
"53",2022-09-19,19538.9,19417.4,19666.6,18277.8,"423,43K","0,62%"
"54",2022-09-18,19418.8,20113.9,20113.9,19347.7,"273,11K","-3,45%"
"55",2022-09-17,20113.5,19802.8,20178.6,19761,"204,58K","1,57%"
"56",2022-09-16,19802.4,19701.9,19883,19352.9,"315,59K","0,51%"
"57",2022-09-15,19701.7,20222.3,20321.4,19532.3,"358,42K","-2,58%"
"58",2022-09-14,20222.5,20175.5,20503.7,19654.2,"374,22K","0,23%"
"59",2022-09-13,20175.5,22395.3,22702.5,19909.6,"485,32K","-9,91%"
"60",2022-09-12,22395.3,21836.6,22465.4,21581.6,"431,98K","2,57%"
"61",2022-09-11,21834.9,21650.4,21836.4,21363,"297,12K","0,85%"
"62",2022-09-10,21650.4,21363.8,21790.6,21139.9,"331,12K","1,33%"
"63",2022-09-09,21365.2,19318.8,21545.7,19294.1,"480,37K","10,60%"
"64",2022-09-08,19317.4,19281.5,19444.7,19034.5,"291,43K","0,19%"
"65",2022-09-07,19281.5,18786.3,19445.9,18548.4,"319,10K","2,64%"
"66",2022-09-06,18786.4,19793.4,20169.3,18723.3,"402,43K","-5,09%"
"67",2022-09-05,19793.1,19999.9,20042.9,19650.7,"238,71K","-1,03%"
"68",2022-09-04,19999.9,19832.2,20017.8,19594.7,"158,27K","0,85%"
"69",2022-09-03,19831.4,19952.8,20043.8,19660.7,"157,85K","-0,61%"
"70",2022-09-02,19952.7,20131.6,20428.2,19764.7,"272,22K","-0,86%"
"71",2022-09-01,20126.1,20049.9,20202.7,19584.4,"275,08K","0,41%"
"72",2022-08-31,20043.9,19793.4,20469.1,19793.4,"318,17K","1,27%"
"73",2022-08-30,19792.6,20295.6,20558.2,19559.7,"308,41K","-2,48%"
"74",2022-08-29,20295.8,19551.3,20394.5,19551.2,"248,04K","3,81%"
"75",2022-08-28,19550.2,20034.2,20150.8,19542.9,"159,60K","-2,41%"
"76",2022-08-27,20033.9,20249.9,20343.6,19849.8,"187,34K","-1,07%"
"77",2022-08-26,20249.9,21564.2,21815.3,20122.4,"322,16K","-6,10%"
"78",2022-08-25,21565.4,21365.4,21801.2,21324.8,"190,15K","0,94%"
"79",2022-08-24,21365.2,21516.2,21832.3,21171.1,"202,40K","-0,71%"
"80",2022-08-23,21517.2,21416.5,21661,20919.6,"228,65K","0,47%"
"81",2022-08-22,21416.3,21516.8,21517.4,20912.1,"251,83K","-0,47%"
